NO.1,NO.2,diff-correlation
23,73,8.84832,
23,116,5.73758,
23,125,6.63433,
23,160,9.55851,
23,194,5.22352,
23,253,17.5429,
23,280,9.64079,
23,284,5.21017,
23,305,5.01506,
23,315,16.129,
24,34,7.09917,
24,36,8.28078,
24,55,30.3258,
24,67,40.2275,
24,72,9.12906,
24,80,6.25812,
24,99,3159.41,
24,145,18.8474,
24,148,240.787,
24,151,11.5241,
24,187,6.61159,
24,198,5.13656,
24,252,8.17975,
24,253,16.0397,
24,255,17.8647,
24,307,16.3563,
24,315,18.9408,
24,318,6.46983,
24,388,8.12989,
25,50,680.657,
25,84,17.8572,
25,90,23.7945,
25,95,52.7383,
25,97,14.9386,
25,108,5.30918,
25,180,5.45215,
25,188,34.4872,
25,226,23.9006,
25,228,9.70334,
25,239,5.81932,
25,252,71.9287,
25,265,5.21557,
25,269,668.652,
25,270,51.3035,
25,272,22.1153,
25,275,11.4975,
25,277,8.13381,
25,281,9.60233,
25,291,10.6527,
25,322,12.8293,
25,326,5.29582,
25,330,5.9239,
25,335,6.36558,
25,339,8.02123,
25,344,77.7707,
25,362,6.8667,
25,367,9.91234,
25,369,10.4865,
25,380,22.5075,
25,381,25.1437,
26,101,10.8282,
26,105,8.07202,
26,107,43.8827,
26,116,5.96827,
26,315,23.3099,
27,42,17.4502,
27,51,35.7684,
27,58,9.01612,
27,90,206.791,
27,127,5.25182,
27,132,9.45542,
27,164,37.3696,
27,176,9.21925,
27,199,127.399,
27,228,7.34319,
27,235,9.89135,
27,240,45.0412,
27,243,33.4836,
27,247,14.8903,
27,267,21.1663,
27,270,6.19029,
27,317,16.9244,
27,327,57.1761,
27,335,6.11703,
27,347,570.781,
27,358,11.6973,
27,364,11.2441,
27,366,33.2325,
27,369,7.86995,
28,65,19.9853,
28,84,62.505,
28,108,7.21972,
28,114,9.82719,
28,119,5.35857,
28,211,27.0846,
28,214,6.93139,
28,237,9.42375,
28,238,28.3049,
28,243,21.405,
28,248,135.692,
28,251,13.4326,
28,306,15.6598,
28,317,7.38556,
28,327,12.2685,
28,338,5.359,
28,339,38.9649,
28,351,11.2697,
28,352,20.4417,
28,376,7.95623,
28,381,8.35563,
29,76,7.07334,
29,77,125.721,
29,117,8.57973,
29,133,9.06288,
29,141,35.0169,
29,163,7.74239,
29,168,44.7249,
29,178,6.53632,
29,243,9.09302,
29,303,43.1767,
29,326,26.6179,
30,113,9.29587,
30,246,8.8796,
30,286,22.1727,
31,36,6.39467,
31,51,8.93521,
31,69,19.3169,
31,84,40.8493,
31,107,47.0715,
31,120,9.77506,
31,160,48.1049,
31,187,7.43804,
31,192,5.65923,
31,194,7.42965,
31,253,8.09442,
31,312,5.54671,
31,318,8.04494,
31,388,5.6315,
32,44,6.92917,
32,64,11.498,
32,65,31.5681,
32,106,22.3091,
32,108,5.33542,
32,114,6.87563,
32,119,7.98692,
32,128,7.53574,
32,151,5.16532,
32,172,32.1617,
32,211,7.88675,
32,239,24.4888,
